"word","coef","var","label","theme"
"stop",1,"score_LEPENmean_CP","% Vote Marine Le Pen","etat"
"route",0.655172413793103,"score_LEPENmean_CP","% Vote Marine Le Pen","etat"
"publiques",0.29064039408867,"score_LEPENmean_CP","% Vote Marine Le Pen","etat"
"regionales",0.142857142857143,"score_LEPENmean_CP","% Vote Marine Le Pen","etat"
"langues",0.137931034482759,"score_LEPENmean_CP","% Vote Marine Le Pen","etat"
"retraite",0.133004926108374,"score_LEPENmean_CP","% Vote Marine Le Pen","etat"
"ecole",0.118226600985222,"score_LEPENmean_CP","% Vote Marine Le Pen","etat"
"grand",0.083743842364532,"score_LEPENmean_CP","% Vote Marine Le Pen","etat"
"services",-0.0860943041372932,"score_LEPENmean_CP","% Vote Marine Le Pen","etat"
"elus",-0.092158469085393,"score_LEPENmean_CP","% Vote Marine Le Pen","etat"
"administrative",-0.0932685749625807,"score_LEPENmean_CP","% Vote Marine Le Pen","etat"
"organisation",-0.0964341104499751,"score_LEPENmean_CP","% Vote Marine Le Pen","etat"
"collectivites",-0.0966889426736602,"score_LEPENmean_CP","% Vote Marine Le Pen","etat"
"publique",-0.1196443282863,"score_LEPENmean_CP","% Vote Marine Le Pen","etat"
"public",-0.143519867415738,"score_LEPENmean_CP","% Vote Marine Le Pen","etat"
"stop",1,"score_MELENCHONmean_CP","% Vote Jean-Luc Mélenchon","etat"
"route",0.655172413793103,"score_MELENCHONmean_CP","% Vote Jean-Luc Mélenchon","etat"
"publiques",0.29064039408867,"score_MELENCHONmean_CP","% Vote Jean-Luc Mélenchon","etat"
"regionales",0.142857142857143,"score_MELENCHONmean_CP","% Vote Jean-Luc Mélenchon","etat"
"langues",0.137931034482759,"score_MELENCHONmean_CP","% Vote Jean-Luc Mélenchon","etat"
"retraite",0.133004926108374,"score_MELENCHONmean_CP","% Vote Jean-Luc Mélenchon","etat"
"francais",-0.124054969840438,"score_MELENCHONmean_CP","% Vote Jean-Luc Mélenchon","etat"
"fonction",-0.187088757727013,"score_MELENCHONmean_CP","% Vote Jean-Luc Mélenchon","etat"
"simplification",-0.191655799021149,"score_MELENCHONmean_CP","% Vote Jean-Luc Mélenchon","etat"
"efficacite",-0.204096826611287,"score_MELENCHONmean_CP","% Vote Jean-Luc Mélenchon","etat"
"sante",-0.212600861053424,"score_MELENCHONmean_CP","% Vote Jean-Luc Mélenchon","etat"
"elus",-0.242364981600903,"score_MELENCHONmean_CP","% Vote Jean-Luc Mélenchon","etat"
"trop",-0.293220837804672,"score_MELENCHONmean_CP","% Vote Jean-Luc Mélenchon","etat"
"publique",-0.314649274359067,"score_MELENCHONmean_CP","% Vote Jean-Luc Mélenchon","etat"
"etat",-0.492292346505305,"score_MELENCHONmean_CP","% Vote Jean-Luc Mélenchon","etat"
"fiscalite",0.985151736976019,"rev_CP","Revenu médian","fisc"
"impot",0.959258411061766,"rev_CP","Revenu médian","fisc"
"depenses",0.431442323600329,"rev_CP","Revenu médian","fisc"
"etat",0.240561780431699,"rev_CP","Revenu médian","fisc"
"reduire",0.17780653336256,"rev_CP","Revenu médian","fisc"
"economie",-0.171428571428571,"rev_CP","Revenu médian","fisc"
"tva",-0.172270868256405,"rev_CP","Revenu médian","fisc"
"indexation",-0.185714285714286,"rev_CP","Revenu médian","fisc"
"baisse",-0.221428571428571,"rev_CP","Revenu médian","fisc"
"reduction",-0.221428571428571,"rev_CP","Revenu médian","fisc"
"egalite",-0.285067270090956,"rev_CP","Revenu médian","fisc"
"vie",-0.385714285714286,"rev_CP","Revenu médian","fisc"
"justice",-0.399715125639456,"rev_CP","Revenu médian","fisc"
"fiscale",-0.42996383785001,"rev_CP","Revenu médian","fisc"
"retraites",-1,"rev_CP","Revenu médian","fisc"
"retraites",0.62167596720819,"C15_POP15P_CS6mean_CP","% Ouvriers","fisc"
"egalite",0.353356326917543,"C15_POP15P_CS6mean_CP","% Ouvriers","fisc"
"retraite",0.299725372413006,"C15_POP15P_CS6mean_CP","% Ouvriers","fisc"
"taxes",0.291121536741489,"C15_POP15P_CS6mean_CP","% Ouvriers","fisc"
"vie",0.239789301637445,"C15_POP15P_CS6mean_CP","% Ouvriers","fisc"
"tva",0.213539075259523,"C15_POP15P_CS6mean_CP","% Ouvriers","fisc"
"isf",0.149985779051331,"C15_POP15P_CS6mean_CP","% Ouvriers","fisc"
"supprimer",0.139495736355297,"C15_POP15P_CS6mean_CP","% Ouvriers","fisc"
"baisse",0.137656821310385,"C15_POP15P_CS6mean_CP","% Ouvriers","fisc"
"payer",-0.13840830449827,"C15_POP15P_CS6mean_CP","% Ouvriers","fisc"
"reduire",-0.15674065173541,"C15_POP15P_CS6mean_CP","% Ouvriers","fisc"
"etat",-0.212060881759673,"C15_POP15P_CS6mean_CP","% Ouvriers","fisc"
"depenses",-0.380326581416804,"C15_POP15P_CS6mean_CP","% Ouvriers","fisc"
"fiscalite",-0.727781896272751,"C15_POP15P_CS6mean_CP","% Ouvriers","fisc"
"impot",-1,"C15_POP15P_CS6mean_CP","% Ouvriers","fisc"
"impot",1,"C15_POP15P_CS3mean_CP","% Cadre et prof. Int. Sup.","fisc"
"fiscalite",0.562566353511161,"C15_POP15P_CS3mean_CP","% Cadre et prof. Int. Sup.","fisc"
"depenses",0.323837892485285,"C15_POP15P_CS3mean_CP","% Cadre et prof. Int. Sup.","fisc"
"etat",0.180564158234219,"C15_POP15P_CS3mean_CP","% Cadre et prof. Int. Sup.","fisc"
"pouvoir",-0.141219779935327,"C15_POP15P_CS3mean_CP","% Cadre et prof. Int. Sup.","fisc"
"economie",-0.142773045465578,"C15_POP15P_CS3mean_CP","% Cadre et prof. Int. Sup.","fisc"
"indexation",-0.154670799254376,"C15_POP15P_CS3mean_CP","% Cadre et prof. Int. Sup.","fisc"
"justice",-0.159022176521958,"C15_POP15P_CS3mean_CP","% Cadre et prof. Int. Sup.","fisc"
"fiscale",-0.171056287177674,"C15_POP15P_CS3mean_CP","% Cadre et prof. Int. Sup.","fisc"
"baisse",-0.184415183726371,"C15_POP15P_CS3mean_CP","% Cadre et prof. Int. Sup.","fisc"
"reduction",-0.184415183726371,"C15_POP15P_CS3mean_CP","% Cadre et prof. Int. Sup.","fisc"
"egalite",-0.218527691475492,"C15_POP15P_CS3mean_CP","% Cadre et prof. Int. Sup.","fisc"
"retraite",-0.309084801367885,"C15_POP15P_CS3mean_CP","% Cadre et prof. Int. Sup.","fisc"
"vie",-0.32123935229755,"C15_POP15P_CS3mean_CP","% Cadre et prof. Int. Sup.","fisc"
"retraites",-0.83284276521587,"C15_POP15P_CS3mean_CP","% Cadre et prof. Int. Sup.","fisc"
"retraites",0.590209802854704,"C15_POP15P_CS7mean_CP","% Retraités","fisc"
"retraite",0.388879427235632,"C15_POP15P_CS7mean_CP","% Retraités","fisc"
"vie",0.227652352529672,"C15_POP15P_CS7mean_CP","% Retraités","fisc"
"pouvoir",0.177677669340418,"C15_POP15P_CS7mean_CP","% Retraités","fisc"
"stop",0.1642680339185,"C15_POP15P_CS7mean_CP","% Retraités","fisc"
"achat",0.150858398496581,"C15_POP15P_CS7mean_CP","% Retraités","fisc"
"fiscale",0.145893862264063,"C15_POP15P_CS7mean_CP","% Retraités","fisc"
"justice",0.135629972456541,"C15_POP15P_CS7mean_CP","% Retraités","fisc"
"baisse",0.130689313489256,"C15_POP15P_CS7mean_CP","% Retraités","fisc"
"reduction",0.130689313489256,"C15_POP15P_CS7mean_CP","% Retraités","fisc"
"fiscales",-0.1280276816609,"C15_POP15P_CS7mean_CP","% Retraités","fisc"
"revenus",-0.132683477568513,"C15_POP15P_CS7mean_CP","% Retraités","fisc"
"payer",-0.13840830449827,"C15_POP15P_CS7mean_CP","% Retraités","fisc"
"depenses",-0.184348886257221,"C15_POP15P_CS7mean_CP","% Retraités","fisc"
"impot",-1,"C15_POP15P_CS7mean_CP","% Retraités","fisc"
"retraites",0.946594746636927,"C15_POP15P_CS5mean_CP","% Employés","fisc"
"vie",0.365115116559957,"C15_POP15P_CS5mean_CP","% Employés","fisc"
"egalite",0.241885387042777,"C15_POP15P_CS5mean_CP","% Employés","fisc"
"baisse",0.209603122469605,"C15_POP15P_CS5mean_CP","% Employés","fisc"
"reduction",0.209603122469605,"C15_POP15P_CS5mean_CP","% Employés","fisc"
"fiscale",0.200014558306501,"C15_POP15P_CS5mean_CP","% Employés","fisc"
"justice",0.18594318234524,"C15_POP15P_CS5mean_CP","% Employés","fisc"
"indexation",0.175796167232572,"C15_POP15P_CS5mean_CP","% Employés","fisc"
"economie",0.162273385137759,"C15_POP15P_CS5mean_CP","% Employés","fisc"
"augmentation",0.155511994090352,"C15_POP15P_CS5mean_CP","% Employés","fisc"
"inflation",0.148750603042946,"C15_POP15P_CS5mean_CP","% Employés","fisc"
"etat",-0.149563046992283,"C15_POP15P_CS5mean_CP","% Employés","fisc"
"depenses",-0.268238073410072,"C15_POP15P_CS5mean_CP","% Employés","fisc"
"impot",-0.513734573424735,"C15_POP15P_CS5mean_CP","% Employés","fisc"
"fiscalite",-1,"C15_POP15P_CS5mean_CP","% Employés","fisc"
"retraites",0.868756718416386,"taux_abstentionmean_CP","% Abstention","fisc"
"vie",0.335091877103463,"taux_abstentionmean_CP","% Abstention","fisc"
"baisse",0.192367559077914,"taux_abstentionmean_CP","% Abstention","fisc"
"reduction",0.192367559077914,"taux_abstentionmean_CP","% Abstention","fisc"
"indexation",0.161340533420186,"taux_abstentionmean_CP","% Abstention","fisc"
"economie",0.148929723157095,"taux_abstentionmean_CP","% Abstention","fisc"
"augmentation",0.142724318025549,"taux_abstentionmean_CP","% Abstention","fisc"
"inflation",0.136518912894004,"taux_abstentionmean_CP","% Abstention","fisc"
"fiscales",-0.1280276816609,"taux_abstentionmean_CP","% Abstention","fisc"
"reduire",-0.13512051310677,"taux_abstentionmean_CP","% Abstention","fisc"
"payer",-0.13840830449827,"taux_abstentionmean_CP","% Abstention","fisc"
"etat",-0.182810105967983,"taux_abstentionmean_CP","% Abstention","fisc"
"depenses",-0.327865950920839,"taux_abstentionmean_CP","% Abstention","fisc"
"fiscalite",-0.63134776549742,"taux_abstentionmean_CP","% Abstention","fisc"
"impot",-1,"taux_abstentionmean_CP","% Abstention","fisc"
"impots",0.730018629626561,"score_MACRONmean_CP","% Vote Emmanuel Macron","fisc"
"juste",0.330871752996211,"score_MACRONmean_CP","% Vote Emmanuel Macron","fisc"
"revenus",0.266130095057736,"score_MACRONmean_CP","% Vote Emmanuel Macron","fisc"
"trop",0.239953364396319,"score_MACRONmean_CP","% Vote Emmanuel Macron","fisc"
"csg",0.231227787509181,"score_MACRONmean_CP","% Vote Emmanuel Macron","fisc"
"publiques",0.21795520237052,"score_MACRONmean_CP","% Vote Emmanuel Macron","fisc"
"salaires",0.152697595524931,"score_MACRONmean_CP","% Vote Emmanuel Macron","fisc"
"inflation",-0.157142857142857,"score_MACRONmean_CP","% Vote Emmanuel Macron","fisc"
"augmentation",-0.164285714285714,"score_MACRONmean_CP","% Vote Emmanuel Macron","fisc"
"economie",-0.171428571428571,"score_MACRONmean_CP","% Vote Emmanuel Macron","fisc"
"indexation",-0.185714285714286,"score_MACRONmean_CP","% Vote Emmanuel Macron","fisc"
"baisse",-0.221428571428571,"score_MACRONmean_CP","% Vote Emmanuel Macron","fisc"
"reduction",-0.221428571428571,"score_MACRONmean_CP","% Vote Emmanuel Macron","fisc"
"vie",-0.385714285714286,"score_MACRONmean_CP","% Vote Emmanuel Macron","fisc"
"retraites",-1,"score_MACRONmean_CP","% Vote Emmanuel Macron","fisc"
"fiscalite",1,"score_FILLONmean_CP","% Vote François Fillon","fisc"
"impots",0.444280444438725,"score_FILLONmean_CP","% Vote François Fillon","fisc"
"juste",0.201364517983019,"score_FILLONmean_CP","% Vote François Fillon","fisc"
"travail",0.148255813953488,"score_FILLONmean_CP","% Vote François Fillon","fisc"
"publiques",0.132644880893576,"score_FILLONmean_CP","% Vote François Fillon","fisc"
"equitable",0.125,"score_FILLONmean_CP","% Vote François Fillon","fisc"
"france",0.116279069767442,"score_FILLONmean_CP","% Vote François Fillon","fisc"
"baisse",-0.0950689131682595,"score_FILLONmean_CP","% Vote François Fillon","fisc"
"reduction",-0.0950689131682595,"score_FILLONmean_CP","% Vote François Fillon","fisc"
"publique",-0.109664480381809,"score_FILLONmean_CP","% Vote François Fillon","fisc"
"vie",-0.165603913260839,"score_FILLONmean_CP","% Vote François Fillon","fisc"
"sociale",-0.175973235961508,"score_FILLONmean_CP","% Vote François Fillon","fisc"
"retraites",-0.429343478824398,"score_FILLONmean_CP","% Vote François Fillon","fisc"
"justice",-0.471812299317086,"score_FILLONmean_CP","% Vote François Fillon","fisc"
"fiscale",-0.507517013860001,"score_FILLONmean_CP","% Vote François Fillon","fisc"
"retraites",0.94134470620359,"score_LEPENmean_CP","% Vote Marine Le Pen","fisc"
"retraite",0.523586698976423,"score_LEPENmean_CP","% Vote Marine Le Pen","fisc"
"vie",0.363090100964242,"score_LEPENmean_CP","% Vote Marine Le Pen","fisc"
"pouvoir",0.239224957290952,"score_LEPENmean_CP","% Vote Marine Le Pen","fisc"
"stop",0.221170243533144,"score_LEPENmean_CP","% Vote Marine Le Pen","fisc"
"baisse",0.208440613516509,"score_LEPENmean_CP","% Vote Marine Le Pen","fisc"
"reduction",0.208440613516509,"score_LEPENmean_CP","% Vote Marine Le Pen","fisc"
"achat",0.203115529775336,"score_LEPENmean_CP","% Vote Marine Le Pen","fisc"
"indexation",0.174821159723524,"score_LEPENmean_CP","% Vote Marine Le Pen","fisc"
"economie",0.16137337820633,"score_LEPENmean_CP","% Vote Marine Le Pen","fisc"
"depenses",-0.227592519421508,"score_LEPENmean_CP","% Vote Marine Le Pen","fisc"
"justice",-0.387009749592665,"score_LEPENmean_CP","% Vote Marine Le Pen","fisc"
"fiscale",-0.416296973886164,"score_LEPENmean_CP","% Vote Marine Le Pen","fisc"
"fiscalite",-0.574335187550934,"score_LEPENmean_CP","% Vote Marine Le Pen","fisc"
"impot",-1,"score_LEPENmean_CP","% Vote Marine Le Pen","fisc"
"fiscale",0.563304239290397,"score_MELENCHONmean_CP","% Vote Jean-Luc Mélenchon","fisc"
"justice",0.523674795320218,"score_MELENCHONmean_CP","% Vote Jean-Luc Mélenchon","fisc"
"retraites",0.412962133597604,"score_MELENCHONmean_CP","% Vote Jean-Luc Mélenchon","fisc"
"egalite",0.392420825884114,"score_MELENCHONmean_CP","% Vote Jean-Luc Mélenchon","fisc"
"tva",0.237146398376011,"score_MELENCHONmean_CP","% Vote Jean-Luc Mélenchon","fisc"
"sociale",0.195316545281595,"score_MELENCHONmean_CP","% Vote Jean-Luc Mélenchon","fisc"
"isf",0.166567113145056,"score_MELENCHONmean_CP","% Vote Jean-Luc Mélenchon","fisc"
"vie",0.159285394387647,"score_MELENCHONmean_CP","% Vote Jean-Luc Mélenchon","fisc"
"equitable",-0.125,"score_MELENCHONmean_CP","% Vote Jean-Luc Mélenchon","fisc"
"reduire",-0.146855353587011,"score_MELENCHONmean_CP","% Vote Jean-Luc Mélenchon","fisc"
"travail",-0.148255813953488,"score_MELENCHONmean_CP","% Vote Jean-Luc Mélenchon","fisc"
"etat",-0.198686654853015,"score_MELENCHONmean_CP","% Vote Jean-Luc Mélenchon","fisc"
"depenses",-0.356340196203777,"score_MELENCHONmean_CP","% Vote Jean-Luc Mélenchon","fisc"
"impot",-0.71918350260775,"score_MELENCHONmean_CP","% Vote Jean-Luc Mélenchon","fisc"
"fiscalite",-1,"score_MELENCHONmean_CP","% Vote Jean-Luc Mélenchon","fisc"
"environnement",1,"rev_CP","Revenu médian","ecolo"
"ecologique",0.519201400942852,"rev_CP","Revenu médian","ecolo"
"transition",0.493930536295191,"rev_CP","Revenu médian","ecolo"
"vie",0.424824902191736,"rev_CP","Revenu médian","ecolo"
"energie",0.400775205829662,"rev_CP","Revenu médian","ecolo"
"priorite",0.276473349045415,"rev_CP","Revenu médian","ecolo"
"entreprises",0.213414634146341,"rev_CP","Revenu médian","ecolo"
"mieux",0.195121951219512,"rev_CP","Revenu médian","ecolo"
"economie",0.189254958308451,"rev_CP","Revenu médian","ecolo"
"reduire",0.189254958308451,"rev_CP","Revenu médian","ecolo"
"vivre",0.176829268292683,"rev_CP","Revenu médian","ecolo"
"creer",0.168581310393546,"rev_CP","Revenu médian","ecolo"
"plan",0.168581310393546,"rev_CP","Revenu médian","ecolo"
"nucleaire",0.161423346792503,"rev_CP","Revenu médian","ecolo"
"sauver",0.158536585365854,"rev_CP","Revenu médian","ecolo"
"nucleaire",-0.20810066774033,"C15_POP15P_CS6mean_CP","% Ouvriers","ecolo"
"transports",-0.224941582011319,"C15_POP15P_CS6mean_CP","% Ouvriers","ecolo"
"changer",-0.225435063874564,"C15_POP15P_CS6mean_CP","% Ouvriers","ecolo"
"creer",-0.233583187128632,"C15_POP15P_CS6mean_CP","% Ouvriers","ecolo"
"plan",-0.233583187128632,"C15_POP15P_CS6mean_CP","% Ouvriers","ecolo"
"economie",-0.243980093212801,"C15_POP15P_CS6mean_CP","% Ouvriers","ecolo"
"reduire",-0.243980093212801,"C15_POP15P_CS6mean_CP","% Ouvriers","ecolo"
"agriculture",-0.269541924197849,"C15_POP15P_CS6mean_CP","% Ouvriers","ecolo"
"taxer",-0.284244210972277,"C15_POP15P_CS6mean_CP","% Ouvriers","ecolo"
"priorite",-0.383076426890957,"C15_POP15P_CS6mean_CP","% Ouvriers","ecolo"
"energie",-0.516663726803578,"C15_POP15P_CS6mean_CP","% Ouvriers","ecolo"
"vie",-0.588629631564154,"C15_POP15P_CS6mean_CP","% Ouvriers","ecolo"
"environnement",-0.790215787698952,"C15_POP15P_CS6mean_CP","% Ouvriers","ecolo"
"transition",-0.951327433628319,"C15_POP15P_CS6mean_CP","% Ouvriers","ecolo"
"ecologique",-1,"C15_POP15P_CS6mean_CP","% Ouvriers","ecolo"
"environnement",1,"C15_POP15P_CS3mean_CP","% Cadre et prof. Int. Sup.","ecolo"
"ecologique",0.733336292353674,"C15_POP15P_CS3mean_CP","% Cadre et prof. Int. Sup.","ecolo"
