"X","Id1","Id2","CODE_DEPT","total","question","id","theme"
17,"Ecolo_12","Ecolo_12e","Le vélo",21242,"Si non, quelles sont les solutions de mobilité alternatives que vous souhaiteriez pouvoir utiliser ?",207,"La transition écologique"
18,"Ecolo_12","Ecolo_12a","Les transports en commun",35843,"Si non, quelles sont les solutions de mobilité alternatives que vous souhaiteriez pouvoir utiliser ?",207,"La transition écologique"
19,"Fisca_1","Fisca_1b","Augmenter le temps de travail",28192,"Afin de financer les dépenses sociales, faut-il selon vous...",206,"La fiscalité et les dépenses publics"
20,"Fisca_1","Fisca_1c","Augmenter les impôts",4389,"Afin de financer les dépenses sociales, faut-il selon vous...",206,"La fiscalité et les dépenses publics"
21,"Fisca_1","Fisca_1a","Reculer l'âge de la retraite",23697,"Afin de financer les dépenses sociales, faut-il selon vous...",206,"La fiscalité et les dépenses publics"
22,"Fisca_1","Fisca_1d","Revoir les conditions d'attribution de certaines aides sociales",58871,"Afin de financer les dépenses sociales, faut-il selon vous...",206,"La fiscalité et les dépenses publics"
23,"Cit_1","Cit_1b","Non",22098,"En dehors des élus politiques, faut-il donner un rôle plus important aux associations et aux organisations syndicales et professionnelles ?",NA,"Démocratie et Citoyenneté"
24,"Cit_1","Cit_1a","Oui",32634,"En dehors des élus politiques, faut-il donner un rôle plus important aux associations et aux organisations syndicales et professionnelles ?",NA,"Démocratie et Citoyenneté"
25,"Cit_4","Cit_4a","Une bonne chose",42144,"Le non-cumul des mandats instauré en 2017 pour les parlementaires (députés et sénateurs) est :",NA,"Démocratie et Citoyenneté"
26,"Cit_4","Cit_4b","Une mauvaise chose",8107,"Le non-cumul des mandats instauré en 2017 pour les parlementaires (députés et sénateurs) est :",NA,"Démocratie et Citoyenneté"
27,"Cit_4","Cit_4c","Je ne sais pas",6060,"Le non-cumul des mandats instauré en 2017 pour les parlementaires (députés et sénateurs) est :",NA,"Démocratie et Citoyenneté"
28,"Cit_7","Cit_7a","Oui",39143,"Pensez-vous qu'il serait souhaitable de réduire le nombre d'élus (hors députés et sénateurs) ?",NA,"Démocratie et Citoyenneté"
29,"Cit_7","Cit_7b","Non",14696,"Pensez-vous qu'il serait souhaitable de réduire le nombre d'élus (hors députés et sénateurs) ?",NA,"Démocratie et Citoyenneté"
30,"Cit_10","Cit_10a","Oui",45718,"Faut-il prendre en compte le vote blanc ?",NA,"Démocratie et Citoyenneté"
31,"Cit_10","Cit_10b","Non",10126,"Faut-il prendre en compte le vote blanc ?",NA,"Démocratie et Citoyenneté"
32,"Cit_13","Cit_13a","Oui",28423,"Faut-il faciliter le déclenchement du référendum d'initiative partagée qui est applicable depuis 2015 ?",NA,"Démocratie et Citoyenneté"
33,"Cit_13","Cit_13b","Non",14860,"Faut-il faciliter le déclenchement du référendum d'initiative partagée qui est applicable depuis 2015 ?",NA,"Démocratie et Citoyenneté"
34,"Cit_13","Cit_13c","Je ne sais pas",11446,"Faut-il faciliter le déclenchement du référendum d'initiative partagée qui est applicable depuis 2015 ?",NA,"Démocratie et Citoyenneté"
35,"Cit_17","Cit_17a","Oui",36766,"Faut-il transformer le Sénat et le CESE?",NA,"Démocratie et Citoyenneté"
36,"Cit_17","Cit_17b","Non",5687,"Faut-il transformer le Sénat et le CESE?",NA,"Démocratie et Citoyenneté"
37,"Etat_1","Etat_1a","Oui",23614,"Selon vous, l'Etat doit-il aujourd'hui transférer de nouvelles missions aux collectivités territoriales ?",NA,"Organisation de l’Etat et des services publics"
38,"Etat_1","Etat_1b","Non",22904,"Selon vous, l'Etat doit-il aujourd'hui transférer de nouvelles missions aux collectivités territoriales ?",NA,"Organisation de l’Etat et des services publics"
39,"Etat_3","Etat_3a","Oui",34374,"Estimez-vous avoir accès aux services publics dont vous avez besoin ?",NA,"Organisation de l’Etat et des services publics"
40,"Etat_3","Etat_3b","Non",15869,"Estimez-vous avoir accès aux services publics dont vous avez besoin ?",NA,"Organisation de l’Etat et des services publics"
41,"Etat_6","Etat_6a","Oui",13484,"Avez-vous déjà utilisé certaines de ces nouvelles formes de services publics ?",NA,"Organisation de l’Etat et des services publics"
42,"Etat_6","Etat_6b","Non",34809,"Avez-vous déjà utilisé certaines de ces nouvelles formes de services publics ?",NA,"Organisation de l’Etat et des services publics"
43,"Etat_7","Etat_7a","Oui",10164,"Si oui, en avez-vous été satisfait ? (nouvelles formes de services publics)",NA,"Organisation de l’Etat et des services publics"
44,"Etat_7","Etat_7b","Non",4621,"Si oui, en avez-vous été satisfait ? (nouvelles formes de services publics)",NA,"Organisation de l’Etat et des services publics"
45,"Etat_11","Etat_11a","Oui",38663,"Connaissez-vous le 'droit à l'erreur'?",NA,"Organisation de l’Etat et des services publics"
46,"Etat_11","Etat_11b","Non",10057,"Connaissez-vous le 'droit à l'erreur'?",NA,"Organisation de l’Etat et des services publics"
47,"Etat_12","Etat_12a","Oui",3630,"Si oui, avez-vous déjà utilisé ce droit à l'erreur ?",NA,"Organisation de l’Etat et des services publics"
48,"Etat_12","Etat_12b","Non",39119,"Si oui, avez-vous déjà utilisé ce droit à l'erreur ?",NA,"Organisation de l’Etat et des services publics"
49,"Etat_15","Etat_15a","Oui",37629,"Faut-il donner plus d'autonomie aux fonctionnaires de terrain ?",NA,"Organisation de l’Etat et des services publics"
50,"Etat_15","Etat_15b","Non",11718,"Faut-il donner plus d'autonomie aux fonctionnaires de terrain ?",NA,"Organisation de l’Etat et des services publics"
51,"Etat_17","Etat_17a","Oui",37481,"Faut-il revoir le fonctionnement et la formation de l'administration ?",NA,"Organisation de l’Etat et des services publics"
52,"Etat_17","Etat_17b","Non",4034,"Faut-il revoir le fonctionnement et la formation de l'administration ?",NA,"Organisation de l’Etat et des services publics"
53,"Part","Count_pourmil_CP","Nbr de contributions pour 1000 hbts",NA,"",NA,"Profil des contributeurs"
54,"Part","perc_fisca","% de contribution sur la fiscalité",NA,"",NA,"Profil des contributeurs"
55,"Part","perc_ecolo","% de contribution sur l’écologie",NA,"",NA,"Profil des contributeurs"
56,"Part","perc_cit","% de contribution sur la citoyenneté",NA,"",NA,"Profil des contributeurs"
57,"Part","perc_etat","% de contributions sur l’organisation des services publics",NA,"",NA,"Profil des contributeurs"
